ISO ALPHA-3 code,WHO Region,Country,Antenatal care coverage (%) -  at least 4 visits (any provider),See notes=1,Data coverage period start year,Data coverage period end year,Survey start year,Survey end year,Sample size; 0=no sample size provided,Source,1=source verified; 2=source not verified,Notes,Source code: 1=survey; 2=adm.; 3=other,Age if not 15-49 years
CPV ,AFRO,Cabo Verde,72.3,,2000,2005,2005,2005,2010,"Instituto Nacional de Estatística (INE) [Cabo Verde], Ministério da Saúde, e Macro International. Segundo Inquérito Demográfico e de Saúde Reprodutiva, Cabo Verde, IDSR-II, 2005. Calverton, Maryland, USA: INE; 2008.",1,,1,
KHM ,WPRO,Cambodia,8.9,,1995,2000,2000,2000,5714,"National Institute of Statistics, Directorate General for Health [Cambodia], and ORC Macro. Cambodia Demographic and Health Survey 2000. Phnom Penh, Cambodia, and Calverton, Maryland USA: National Institute of Statistics, Directorate General for Health, and ORC Macro, 2001.",1,,1,
KHM ,WPRO,Cambodia,27,,2000,2005,2005,2005,5865,"National Institute of Public Health, National Institute of Statistics [Cambodia] and ORC Macro. Cambodia Demographic and Health Survey 2005. Phnom Penh, Cambodia and Calverton, Maryland, USA: National Institute of Public Health, National Institute of Statistics and ORC Macro, 2006.",1,,1,
KHM ,WPRO,Cambodia,59.4,,2005,2010,2010,2010,5793,"National Institute of Statistics, Directorate General for Health, and ICF Macro. Cambodia Demographic and Health Survey 2010. Phnom Penh, Cambodia and Calverton, Maryland, USA: National Institute of Statistics, Directorate General for Health, and ICF Macro, 2011.",1,,1,
KHM,WPR,Cambodia,75.6,,2009,2014,2014,2014,5973,"National Institute of Statistics, Directorate General for Health, ICF International. Cambodia Demographic and Health Survey 2014. Phnom Penh, Cambodia, and Rockville, Maryland, USA: National Institute of Statistics, Directorate General for Health, ICF International; 2015.",1,,1,
CMR ,AFRO,Cameroon,60.4,,1999,2004,2004,2004,5303,"Institut National de la Statistique (INS) et ORC Macro. Enquête Démographique et de Santé du Cameroun 2004. Calverton, Maryland, USA: INS et ORC Macro; 2005.",1,,1,
CMR ,AFRO,Cameroon,49,,1986,1991,1991,1991,3456,"Direction Nationale du Deuxième Recensement Général de la Population et de l'Habitat,  Macro International Inc. Enquête Démographique et de Santé du Cameroun 1991. Calverton, Columbia, Maryland, USA: Macro International Inc., 1992.",1,,1,
CMR ,AFRO,Cameroon,52.4,,1995,1998,1998,1998,2469,"Fotso, Médard, René Ndonou, Paul Roger Libité, Martin Tsafack, Roger Wakou, Aboubakar Ghapoutsa, Samuel Kamga, Pierre Kemgo, Michel Kwekem Fankam, Antoine Kamdoum, Bernard Barrère. Enquête Démographique et de Santé, Cameroun 1998. Calverton, Maryland, USA: Bureau Central des Recensements et des Études de Population et Macro International Inc., 1999.",1,,1,
CMR ,AFRO,Cameroon,62.2,,2006,2011,2011,2011,6513,"Institut National de la Statistique (INS) et ICF. International. Enquête Démographique et de Santé et à Indicateurs Multiples du Cameroun 2011. Calverton, Maryland, USA: INS et ICF International, 2012.",1,,1,
CMR ,AFRO,Cameroon,58.8,,2012,2014,2014,2014,0,"Institut National de la Statistique. Enquête par grappes à indicateurs multiples (MICS5), 2014, Rapport de résultats clés. Yaoundé, Cameroun: Institut National de la Statistique; 2015.",1,,1,
CAN ,AMRO,Canada,98.9,1,2006,2007,2006,2007,6421,Public Health Agency of Canada. What Mothers Say: The Canadian Maternity Experience Survey. Ottawa; 2009.,1,5 or more visits,1,
CAF ,AFRO,Central African Republic,39.7,,1991,1995,1994,1995,2836,"Ndamobissi, Robert, Gora Mboup et Edwige Opportune Nguélébé. Enquête Démographique et de Santé, République Centrafricaine 1994-95. Calverton, Maryland, USA: Direction des Statistiques Démographiques et Sociales et Macro International Inc., 1995.
",1,,1,
CAF ,AFRO,Central African Republic,38.1,,2008,2010,2010,2010,4362,"nstitut Centrafricain des Statistiques et des Études Économiques et Sociales (ICASEES). Enquête par grappes à indicateurs multiples MICS, RCA 2010 Rapport final. Bangui, RCA: ICASEES; 2010.
",1,,1,
TCD ,AFRO,Chad,14.8,,1991,1997,1996,1997,7498,"Ouagadjio, Bandoumal, Kostelngar Nodjimadji, Joël Nodjimbatem Ngoniri, Ningam Ngakoutou, Keumaye Ignégongba, Joél S. Tokindang, Oumdague Kouo, Bernard Barrère, et Monique Ban:ère. Enquête Démographique et de Santé, Tchad 1996-1997. Calverton, Maryland, USA: Bureau Central du Recensement et Macro International Inc., 1998.",1,,1,
TCD ,AFRO,Chad,17.8,,1999,2004,2004,2004,3720,"Ouagadjio, Bandoumal, Kostelngar Nodjimadji, Tchobkréo Bagamla, Riradjim Madnodji, Joël Sibaye Tokindang, Ningam Ngakoutou, Joël Nodjimbatem Ngoniri, Caman Bédaou, Donato Koyalta, Bernard Barrère, Monique Barrère. 2004. Enquête Démographique et de Santé Tchad 2004. Calverton, Maryland, USA: INSEED et ORC Macro, 2005.",1,,1,
TCD ,AFRO,Chad,23.1,,2008,2010,2010,2010,6228,"Ministère du Plan, de l’Economie et de la Coopération Internationale. Institut National de la Statistique, des Études Économiques et Démographiques (INSEED), United Nations Population Fund, United Nations Children’s Fund. Enquête par grappes à indicateurs multiples-Rapport Final, Tchad, 2012. ",1,,1,
TCD ,AFRO,Chad,31,,2009,2015,2014,2015,11140,"Institut National de la Statistique, des Études Économiques et Démographiques (INSEED) N'Djaména, Tchad, ICF International, Rockville, Maryland, USA. Enquête Démographique et de Santé et à Indicateurs Multiples au Tchad (EDS-MICS) 2014-2015. Indicateurs Clés. Rockville, Maryland, USA: ICF International; 2015.
",1,,1,
CHL ,AMRO,Chile,no data,,,,,,,,,,,
CHN ,WPRO,China,no data,,,,,,,,,,,
COL ,AMRO,Colombia,66.5,,1985,1990,1990,1990,3713,"Asociación Probienestar de la Familia Colombiana (Profamilia), Macro International Inc. Encuesta Nacional de Demografía y Salud 1990. Columbia, Maryland, USA: Macro International Inc.; 1991.",1,,1,
COL ,AMRO,Colombia,71,,1990,1995,1995,1995,5050,"Asociación Probienestar de la Familia Colombiana (Profamilia), Macro International Inc. Encuesta Nacional de Demografía y Salud 1995. Calverton, Maryland, USA: Macro International Inc.; 1995.",1,,1,
COL ,AMRO,Colombia,81,,1995,2000,2000,2000,3547,"Asociación Probienestar de la Familia Colombiana (Profamilia). Salud Sexual y Reproductiva en Colombia. Resultados Encuesta Nacional de Demografía y Salud 2000. Bogotá, Colombia; 2000.",1,,1,
COL ,AMRO,Colombia,83.1,,2000,2005,2005,2005,11062,"Asociación Probienestar de la Familia Colombiana (Profamilia). Salud Sexual y Reproductiva en Colombia. Encuesta Nacional de Demografía y Salud 2005. Bogotá, Colombia; 2005.",1,,1,
COL ,AMRO,Colombia,88.6,,2005,2010,2010,2010,13254,"Asociación Probienestar de la Familia Colombiana (Profamilia). Encuesta Nacional de Demografía y Salud 2010. Bogotá, Colombia;2010.",1,,1,
COM ,AFRO,Comoros,52,,1993,1996,1996,1996,1145,"Mondoha, Kassim A., Juan Schoemaker et Monique Ban'ère. Enquête Démographique et de Santé, Comores 1996. Calverton, Maryland, USA: Centre National de Documentation et de Recherche Scientifique et Macro International Inc., 1997.",1,,1,
COM ,AFRO,Comoros,48.9,,2007,2012,2012,2012,2064,"Direction Générale de la Statistique et de la Prospective (DGSP) Comores, ICF International. l'Enquête Démographique et de Santé et à Indicateurs Multiples de l’Union des Comores (EDSC-MICS 12). Calverton, MD, USA: ICF International; 2014.",1,,1,
COG ,AFRO,Congo,74.7,,2000,2005,2005,2005,3568,"Centre National de la Statistique et des Études Économiques (CNSEE) et ORC Macro. Enquête Démographique et de Santé du Congo 2005. Calverton, Maryland, USA: CNSEE et ORC Macro, 2006.",1,,1,
COG ,AFRO,Congo,78.9,,2006,2012,2011,2012,5479,"Centre Nationale de la Statistique et des Études Économiques (CNSEE) [Congo] et ICF International. Enquête Démographique et de Santé du Congo (EDSC-II) 2011-2012. Calverton, Maryland, USA: CNSEE et ICF International, 2013.",1,,1,
COG ,AFRO,Congo,79,,2012,2015,2014,2015,0,"Institut National de la Statistique (INS), UNICEF. Enquête par grappes à indicateurs multiples, MICS5 Congo 2014-2015, Rapport de résultats clés. Brazzaville, Congo: INS, UNICEF; 2015.",1,,1,
COK ,WPRO,Cook Islands,no data,,,,,,,,,,,
CRI ,AMRO,Costa Rica,96.9,1,2005,2010,2010,2010,0,"Costa Rica. Ministerio de Salud. Informe de los resultados de la Encuesta de Salud Sexual y Reproductiva 2010. San José, Costa Rica: El Ministerio, 2011.",1,3 or more visits.,1,
CRI ,AMRO,Costa Rica,90.2,,2009,2011,2011,2011,658,"Ministerio de Salud Pública, UNICEF. Costa Rica Encuesta de Indicadores Múltiples por Conglomerados 2011. San José, Costa Rica: Ministerio de Salud, República de Costa Rica; 2013.",1,,2,
CIV ,AFRO,Côte d'Ivoire,28.7,,1991,1994,1994,1994,3989,"Institut National de la Statistique, Ministère Délégué Auprès du Premier Ministre, Chargé de l'Economie, des Finances et du Plan, Macro International Inc. Enquête Démographique et de Santé 1994. Calverton, Maryland, USA: Macro International Inc., 1995.
",1,,1,
CIV ,AFRO,Côte d'Ivoire,35.6,,1993,1999,1998,1999,2224,"Institut National de la Statistique [Côte d’Ivoire] et ORC Macro. Enquête Démographique et de Santé, Côte d’Ivoire 1998-1999. Calverton, Maryland USA : Institut National de la Statistique et ORC Macro, 2001.",1,,1,
CIV ,AFRO,Côte d'Ivoire,45.3,,2000,2005,2005,2005,2553,"Institut National de la Statistique (INS) et Ministère de la Lutte contre le Sida [Côte d’Ivoire] et ORC Macro. Enquête sur les Indicateurs du Sida, Côte d’Ivoire 2005. Calverton, Maryland, USA: INS et ORC Macro, 2006.",1,,1,
CIV ,AFRO,Côte d'Ivoire,44.2,,2006,2012,2011,2012,5244,"Institut National de la Statistique (INS), ICF International. Enquête Démographique et de Santé et à Indicateurs Multiples de Côte d’Ivoire 2011-2012. Calverton, Maryland, USA: INS, ICF International; 2012.",1,,1,
HRV ,EURO,Croatia,96.7,1,2008,2008,2008,2008,37268,"Drazancic A, et al. Perinatal mortality in Republic of Croatia in the year 2009. Gynaecologia et Perinatologia. Vol 19, No 4: 189-288. Zagreb, 2010.",1,3 or more visits.,2,
HRV ,EURO,Croatia,96.6,1,2009,2009,2009,2009,43311,"Drazancic A, et al. Perinatal mortality in Republic of Croatia in the year 2009. Gynaecologia et Perinatologia. Vol 19, No 4: 189-288. Zagreb, 2010.",1,3 or more visits.,2,
HRV ,EURO,Croatia,95,1,2010,2010,2010,2010,42695,"Hrvatski Zavod Za Javno Zdravstvo. Služba Za Javno Zdravstvo. Odjel za istraživanja zaštite zdravlja kupina s posebnim rizicima.  Porodi u Zdravstvenim Ustanovama u Hrvatskoj 2010. Godine [Croatian Institute of Public Health. Deliveries in Health Institutions in Croatia 2010]. Srpanj, 2011. ",1,3 or more visits.,2,
HRV ,EURO,Croatia,95.6,1,2011,2011,2011,2011,40629,"Hrvatski Zavod Za Javno Zdravstvo. Služba Za Javno Zdravstvo. Odjel za istraživanja zaštite zdravlja kupina s posebnim rizicima.  Porodi u Zdravstvenim Ustanovama u Hrvatskoj 2011. Godine [Croatian Institute of Public Health. Deliveries in Health Institutions in Croatia 2010]. Srpanj, 2012. ",1,3 or more visits.,2,
HRV ,EURO,Croatia,95.1,1,2012,2012,2012,2012,41091,"Hrvatski Zavod Za Javno Zdravstvo. Služba Za Javno Zdravstvo. Odjel za istraživanja zaštite zdravlja kupina s posebnim rizicima.  Porodi u Zdravstvenim Ustanovama u Hrvatskoj 2012. Godine [Croatian Institute of Public Health. Deliveries in Health Institutions in Croatia 2010]. Srpanj, 2013. ",1,3 or more visits.,2,
HRV ,EURO,Croatia,93.3,1,2013,2013,2013,2013,39939,Hrvatski Zavod Za Javno Zdravstvo. Služba Za Javno Zdravstvo. Odjel za istraživanja zaštite zdravlja kupina s posebnim rizicima. Porodi u Zdravstvenim Ustanovama u Hrvatskoj 2013. Godine [Croatian Institute of Public Health. Deliveries in Health Institutions in Croatia 2013]. Srpanj; 2014. ,1,3 or more visits.,2,
HRV ,EURO,Croatia,93,1,2014,2014,2014,2014,39132,Hrvatski Zavod Za Javno Zdravstvo. Služba Za Javno Zdravstvo. Odjel za istraživanja zaštite zdravlja kupina s posebnim rizicima. Porodi u Zdravstvenim Ustanovama u Hrvatskoj 2014. Godine [Croatian Institute of Public Health. Deliveries in Health Institutions in Croatia 2014]. Srpanj; 2015. ,1,4 or more visits.,2,
CUB ,AMRO,Cuba,100,,2011,2011,2011,2011,0,"Pan American Health Organization/World Health Organization, Communicable Diseases and Health Analysis/Health Information and Analysis. Health Situation in the Americas: Basic Indicators 2012. Washington, D.C., United States of America, 2012.",2,,3,
CUB ,AMRO,Cuba,100,,2012,2012,2012,2012,0,"Pan American Health Organization/World Health Organization, Communicable Diseases and Health Analysis/Health Information and Analysis. Health Situation in the Americas: Basic Indicators 2013. Washington, D.C., United States of America, 2013.",2,,3,
CUB ,AMRO,Cuba,100,,2013,2013,2013,2013,0,"Pan American Health Organization/World Health Organization, Communicable Diseases and Health Analysis/Health Information and Analysis. Health Situation in the Americas: Basic Indicators 2014. Washington, D.C., United States of America, 2014.",2,,3,
CUB ,AMRO,Cuba,97.8,,2012,2014,2014,2014,635,"Dirección de Registros Médicos y Estadísticas de Salud, Ministerio de Salud Pública. Encuesta de Indicadores Múltiples por
Conglomerados. Cuba, 2014. Informe final. La Habana, Cuba: Dirección de Registros Médicos y Estadísticas de Salud; 2015.",1,,1,
CYP ,EURO,Cyprus,no data,,,,,,,,,,,
CZE ,EURO,Czech Republic,96.8,1,1993,1993,1993,1993,1382,"Czech Statistical Office, 1993 Czech Republic reproductive Survey, Final Report. Prague, 1995",1,6 or more visits.,1,
CZE ,EURO,Czech Republic,97.9,1,2001,2001,2001,2001,89303,"Institute of Health Information and Statistics of the Czech Republic. Rodička a novorozenec 2001 [Mother and newborn 2001]. Prague, Czech Republic, 2002.",1,3 or more visits.,2,
CZE ,EURO,Czech Republic,97.7,1,2002,2002,2002,2002,91534,"Institute of Health Information and Statistics of the Czech Republic. Rodička a novorozenec 2002 [Mother and newborn 2002]. Prague, Czech Republic, 2004.",1,3 or more visits.,2,
CZE ,EURO,Czech Republic,97.7,1,2003,2003,2003,2003,92387,"Institute of Health Information and Statistics of the Czech Republic. Rodička a novorozenec 2003 [Mother and newborn 2003]. Prague, Czech Republic, 2004.",1,3 or more visits.,2,
CZE ,EURO,Czech Republic,97.4,1,2004,2004,2004,2004,96098,"Institute of Health Information and Statistics of the Czech Republic. Rodička a novorozenec 2004 [Mother and newborn 2004]. Prague, Czech Republic, 2005.",1,3 or more visits.,2,
CZE ,EURO,Czech Republic,96.6,1,2005,2005,2005,2005,100519,"Institute of Health Information and Statistics of the Czech Republic. Rodička a novorozenec 2005 [Mother and newborn 2005]. Prague, Czech Republic, 2006.",1,3 or more visits.,2,
CZE ,EURO,Czech Republic,96.1,1,2006,2006,2006,2006,104129,"Institute of Health Information and Statistics of the Czech Republic. Rodička a novorozenec 2006 [Mother and newborn 2006]. Prague, Czech Republic, 2007.",1,3 or more visits.,2,
CZE ,EURO,Czech Republic,95.4,1,2007,2007,2007,2007,111988,"Institute of Health Information and Statistics of the Czech Republic. Rodička a novorozenec 2007 [Mother and newborn 2007]. Prague, Czech Republic, 2008.",1,3 or more visits.,2,
CZE ,EURO,Czech Republic,95,1,2008,2008,2008,2008,117317,"Institute of Health Information and Statistics of the Czech Republic. Rodička a novorozenec 2008 [Mother and newborn 2008]. Prague, Czech Republic, 2009.",1,3 or more visits.,2,
CZE ,EURO,Czech Republic,94.7,1,2009,2009,2009,2009,116090,"Institute of Health Information and Statistics of the Czech Republic. Rodička a novorozenec 2009 [Mother and newborn 2009]. Prague, Czech Republic, 2009.",1,3 or more visits.,2,
CZE ,EURO,Czech Republic,94.8,1,2010,2010,2010,2010,114407,"Institute of Health Information and Statistics of the Czech Republic. Rodička a novorozenec 2010 [Mother and newborn 2010]. Prague, Czech Republic, 2011.",1,3 or more visits.,2,
CZE ,EURO,Czech Republic,95.2,1,2011,2011,2011,2011,106392,"Institute of Health Information and Statistics of the Czech Republic. Rodička a novorozenec 2011 [Mother and newborn 2011]. Prague, Czech Republic, 2012.",1,3 or more visits.,2,
CZE ,EURO,Czech Republic,95.6,1,2012,2012,2012,2012,105790,"Institute of Health Information and Statistics of the Czech Republic. Rodička a novorozenec 2012 [Mother and newborn 2012]. Prague, Czech Republic; 2013.",1,3 or more visits.,2,
CZE ,EURO,Czech Republic,98.8,1,2013,2013,2013,2013,103902,"Institute of Health Information and Statistics of the Czech Republic. Rodička a novorozenec 2013 [Mother and Newborn 2013]. Prague, Czech Republic; 2015.",1,3 or more visits.,2,
PRK ,SEARO,Democratic People's Republic of Korea,94.9,,2002,2004,2004,2004,4800,"Central Bureau of Statistics, Institute of Child Nutrition. DPRK 2004 Nutrition Assessment Report of Survey Results. DPRK; 2005.",1,,1,
PRK ,SEARO,Democratic People's Republic of Korea,93.5,,2007,2009,2009,2009,854,"Central Bureau of Statistics, UNICEF. Multiple Indicator Cluster Survey 2009. Final Report. Democratic People's Republic of Korea, 2010.",1,,1,
COD ,AFRO,Democratic Republic of the Congo,46.7,,2002,2007,2007,2007,4765,"Ministère du Plan et Macro International. Enquête Démographique et de Santé, République Démocratique du Congo 2007. Calverton, Maryland, USA.: Ministère du Plan et Macro International; 2008.",1,,1,
COD ,AFRO,Democratic Republic of the Congo,43.8,,2008,2010,2010,2010,5036,"Institut National de la Statistique, UNICEF. Enquête par grappes a Indicateurs Multiples en Républic Démocratique du Congo - (MICS-RDC 2010) Rapport Final. Républic Démocratique du Congo; 2011.",1,,1,
COD ,AFRO,Democratic Republic of the Congo,48,,2008,2014,2013,2014,11065,"Ministère du Plan et Suivi de la Mise en oeuvre de la Révolution de la Modernité (MPSMRM), Ministère de la Santé Publique (MSP) et ICF International. Enquête Démographique et de Santé en République Démocratique du Congo 2013-2014. Rockville, Maryland, USA : MPSMRM, MSP et ICF International; 2014.",1,,1,
DNK ,EURO,Denmark,no data,,,,,,,,,,,
DJI ,EMRO,Djibouti,7.1,,1997,2002,2002,2002,1769,"Gouvernemnet de Djibouti, Ligue des Estats Arabes - PAPFAM. Enquête Djiboutienne sur la Santé de la Famille. PAPFAM - Rapport Final. Djibouti, 2004.",1,,1,
DJI ,EMRO,Djibouti,22.6,,2007,2012,2012,2012,1849,"Ministry of Health (Djibouti), Institute of Statistics and Demographic Studies, and League of Arab States. Second Djibouti Survey of Family Health EDSF/PAPFAM
2-2012: Final Report (French). Cairo; 2012.",1,,1,
DMA ,AMRO,Dominica,no data,,,,,,,,,,,
DOM ,AMRO,Dominican Republic,85,,1986,1991,1991,1991,3820,"Asociación Dominicana Pro-Bienestar de la Familia (PROFAMILIA), Oficina Nacional de Planificación, Macro International Inc. Encuesta Demográfica y de Salud de la República Dominicana 1991 (ENDESA-91). Columbia, Maryland, USA: Macro International Inc., 1992.",1,,1,
DOM ,AMRO,Dominican Republic,87.6,,1991,1996,1996,1996,4379,"Centro de Estudios Sociales y Demográficos (CESDEM), Asociación Dominicana Pro-Bienestar de la Familia (PROFAMILIA), Oficina Nacional de Planificación (ONAPLAN), Macro International Inc. Encuesta Demográfica y de Salud de la República Dominicana 1996 (ENDESA-96). Columbia, Maryland, USA: Macro International Inc., 1997.",1,,1,
DOM ,AMRO,Dominican Republic,89.9,,1999,2000,2000,2000,433,"Secretariado Técnico de la Presedencia, UNICEF. Encuesta por Conglomerados de Indicadores Múltiples (MICS-2000). Santo Domingo, República Dominicana, 2001.",1,,1,
DOM ,AMRO,Dominican Republic,93.5,,1997,2002,2002,2002,7866,"Centro de Estudios Sociales y Demográficos (CESDEM), Secretaría de Estado de Salud, Pública y Asistencia Social (SESPAS), ORC Macro. Encuesta Demográfica y de Salud 2002 (ENDESA 2002). Calverton, Maryland, USA: ORC Macro, 2003.",1,,1,
DOM ,AMRO,Dominican Republic,94.5,,2002,2007,2007,2007,8203,"Centro de Estudios Sociales y Demográficos (CESDEM) y Macro International Inc. Encuesta Demográfica y de Salud 2007. Santo Domingo, República Dominicana: CESDEM y Macro International Inc., 2008.",1,,1,
DOM ,AMRO,Dominican Republic,95.4,,2008,2013,2013,2013,2916,"Centro de Estudios Sociales y Demográficos (CESDEM) y ICF International. Encuesta Demográfica y de Salud 2013. Santo Domingo, República Dominicana: CESDEM y ICF International; 2014.",1,,1,
DOM,AMR,Dominican Republic,92.9,,2012,2012,2014,2014,4411,"Oficina Nacional de Estadística y UNICEF. Encuesta Nacional de Hogares de Propósitos Múltiples - Encuesta de Indicadores Múltiples por Conglomerados 2014, Informe Final. Santo Domingo, República Dominicana: Oficina Nacional de Estadística; 2016.",1,,1,
ECU ,AMRO,Ecuador,63.6,1,1989,1994,1994,1994,6599,"Centro de Estudios de Población y Paternidad Responsable (CEPAR), División de Salud Reproductiva de los Centros para el Control de Enfermedades (CDC). Encuesta de Salud Materna e Infantil (ENDEMAIN-94). Quito, Ecuador, 1995.",1,5 or more visits.,1,
ECU ,AMRO,Ecuador,65.5,1,1994,1999,1999,1999,6806,"Centro de Estudios de Población y Desarrollo Social (CEPAR), Centros para el Control y Prevención de Enfermedades (CDC). Encuesta Demográfica y de Salud Materna e Infantil (ENDEMAIN-99). Informe General. Quito, Ecuador, 2001.",1,5 or more visits.,1,
ECU ,AMRO,Ecuador,57.5,1,1999,2004,2004,2004,6140,"Centro de Estudios de Población y Desarrollo Social (CEPAR), Centros para el Control y Prevención de Enfermedades (CDC). Encuesta Demográfica y de Salud Materna e Infantil (ENDEMAIN-2004). Informe Final. Quito, Ecuador, 2005.",1,5 or more visits.,1,
ECU ,AMRO,Ecuador,79.5,,2012,2012,2012,2012,0,"Pan American Health Organization/World Health Organization, Communicable Diseases and Health Analysis/Health Information and Analysis. Health Situation in the Americas: Basic Indicators 2015. Washington, D.C., United States of America; 2015.",2,,3,
EGY ,EMRO,Egypt,22.5,,1987,1992,1992,1992,8626,"EI-Zanaty FH, Sayed H AA, Zaky Hassan HM, Way AA. Egypt Demographic and Health Survey 1992. Calverton, Maryland [USA]: National Population Council [Egypt] and Macro International Inc., 1993.",1,,1,
EGY ,EMRO,Egypt,28.3,,1990,1995,1995,1995,11454,"EI-Zanaty, Fatma, Enas M. Hussein, Gihan A. Shawky, Ann A. Way, and Sunita Kishor. Egypt Demographic and Health Survey 1995. Calverton, Maryland [USA]: National Population Council [Egypt] and Macro International Inc., 1996.",1,,1,
EGY ,EMRO,Egypt,31.8,,1992,1997,1997,1997,4007,"EI-Zanaty and Associates Cairo, Egypt and Macro International Inc. Egypt Demographic and Health Survey 1997. Calverton, Maryland, USA: Macro International Inc., 1998.",1,,1,
EGY ,EMRO,Egypt,33.1,,1993,1998,1998,1998,5483,"EI-Zanaty and Associates Cairo, Egypt and Macro International Inc. Egypt Demographic and Health Survey 1998. Calverton, Maryland, USA: Macro International Inc., 1999.",1,,1,
EGY ,EMRO,Egypt,36.7,,1995,2000,2000,2000,11361,"El-Zanaty, Fatma and Ann Way. Egypt Demographic and Health Survey 2000. Calverton, Maryland [USA]: Ministry of Health and Population [Egypt], National Population Council and ORC Macro, 2001.
",1,,1,
EGY ,EMRO,Egypt,55.6,,1998,2003,2003,2003,6314,"El-Zanaty, Fatma and Ann A.Way. 2003 Egypt Interim Demographic and Health Survey. Cairo Egypt: Ministry of Health and Population [Egypt], National Population Council, El-Zanaty and Associates, and ORC Macro, 2004.",1,,1,
EGY ,EMRO,Egypt,58.5,,2000,2005,2005,2005,13600,"El-Zanaty, Fatma and Ann Way. Egypt Demographic and Health Survey 2005. Cairo, Egypt: Ministry of Health and Population, National Population Council, El-Zanaty and Associates, and ORC Macro, 2006.
",1,,1,
EGY ,EMRO,Egypt,66,,2003,2008,2008,2008,10590,"El-Zanaty, Fatma and Ann Way. Egypt Demographic and Health Survey 2008. Cairo, Egypt: Ministry of Health, El-Zanaty and Associates, and Macro International, 2009.",1,,1,
EGY,EMR,Egypt,82.8,,2009,2014,2014,2014,11391,"Ministry of Health and Population [Egypt], El-Zanaty and Associates [Egypt], ICF International. Egypt Demographic and Health Survey 2014. Cairo, Egypt and Rockville, Maryland, USA: Ministry of Health and Population, ICF International; 2015.",1,,1,
SLV ,AMRO,El Salvador,58.9,1,1993,1998,1998,1998,8482,"Asociación Demográfica Salvadoreña (ADS), Division of Reproductive Health of the Centers for Disease Control and Prevention (CDC) . Encuesta Nacional de Salud Familiar de 1998 (FESAL-98). Informe Final. San Salvador, El Salvador, 2000.",1,5 or more visits.,1,
SLV ,AMRO,El Salvador,71.2,1,1997,2003,2002,2003,5850,"Asociación Demográfica Salvadoreña (ADS), Division of Reproductive Health of the Centers for Disease Control and Prevention (CDC). Encuesta Nacional de Salud Familiar de 2002/03 (FESAL-2002/03). Informe Final. San Salvador, El Salvador, 2004.",1,5 or more visits.,1,
SLV ,AMRO,El Salvador,78.3,1,2003,2008,2008,2008,5169,"Asociación Demográfica Salvadoreña (ADS), Centros para el Control y Prevención de Enfermedades (CDC). Encuesta Nacional de Salud Familiar de 2008 (FESAL-2008). Informe Final. San Salvador, El Salvador, 2009.",1,5 or more visits.,1,
SLV,AMR,El Salvador,90,,2012,2014,2014,2014,0,"Ministerio de Salud/Instituto Nacional de Salud y UNICEF. Encuesta Nacional de Salud 2014 - Encuesta de Indicadores Multiples por Conglomerados 2014, Resultados Principales. San Salvador, El Salvador: Ministerio de Salud e Instituto Nacional de Salud; 2015.",1,,1,
GNQ ,AFRO,Equatorial Guinea,66.9,,2006,2011,2011,2011,1835,"Le Ministère de la Santé et du Bien-Être Social, le Ministère de la Planification, du Développement Économique et des Investissements Publics, et ICF International. L’Enquête Démographique et de Santé en Guinée Équatoriale de 2011 : Rapport de synthèse. Calverton, Maryland, USA: Le Ministère de la Santé et du Bien-Être Social, le Ministère de la Planification, du Développement Économique et des Investissements Publics, ICF International; 2012.",1,,1,
ERI ,AFRO,Eritrea,26.6,,1992,1995,1995,1995,2580,"National Statistics Office [Eritrea] and Macro International Inc. Eritrea Demographic and Health Survey, 1995. Calverton, Maryland: National Statistics Office and Macro International Inc., 1997.",1,,1,
ERI ,AFRO,Eritrea,40.9,,1997,2002,2002,2002,4175,"National Statistics and Evaluation Office (NSEO) [Eritrea] and ORC Macro. Eritrea Demographic and Health Survey 2002. Calverton, Maryland, USA: National Statistics and Evaluation Office and ORC Macro, 2003.",1,,1,
ERI ,AFRO,Eritrea,57.4,,2005,2010,2010,2010,13817,"National Statistics Office (NSO) [Eritrea] and Fafo AIS. Eritrea Population and Health Survey 2010. Asmara, Eritrea: National Statistics Office and Fafo Institute for Appled International Studies; 2013.",1,,1,
EST ,EURO,Estonia,92.1,1,1992,1992,1992,1992,18031,"National Institute for Health Development. Medical Birth Registry (EMSR). Tallinn, Estonia, 2012 (web site accessed 31 October 2012).",1,5 or more visits.,2,
EST ,EURO,Estonia,91.9,1,1993,1993,1993,1993,15107,"National Institute for Health Development. Medical Birth Registry (EMSR). Tallinn, Estonia, 2012 (web site accessed 31 October 2012).",1,5 or more visits.,2,
EST ,EURO,Estonia,92.1,1,1994,1994,1994,1994,14025,"National Institute for Health Development. Medical Birth Registry (EMSR). Tallinn, Estonia, 2012 (web site accessed 31 October 2012).",1,5 or more visits.,2,
EST ,EURO,Estonia,93.3,1,1995,1995,1995,1995,13340,"National Institute for Health Development. Medical Birth Registry (EMSR). Tallinn, Estonia, 2012 (web site accessed 31 October 2012).",1,5 or more visits.,2,
EST ,EURO,Estonia,93.7,1,1996,1996,1996,1996,13109,"National Institute for Health Development. Medical Birth Registry (EMSR). Tallinn, Estonia, 2012 (web site accessed 31 October 2012).",1,5 or more visits.,2,
